review,genre,sentiment
A great Batman + the greatest live action Joker = Awesomeness. There's nothing more I can talk about. It's one of the greatest comic book movies of all time.,Action,Positive
" From the performances, to the action and to the story everything was just perfect.",Action,Positive
"For me it is one for the best action film of all time. Also, I have to say that Ledger's performance as The Joker was absolutely marvelous and astonishing",Action,Positive
the greatest superhero movie of all time. Dark and thrilling. suspenseful and full of action.,Action,Positive
"The Batman movie fans deserve. The Dark Knight has it all: great action, quality characters, and an epic dynamic, all of which helps it hold up more than ten years later.",Action,Positive
"One of the best super hero movies of all time features amazing & real action sequences, a chilling villian in the joker and some edge of your seat suspense that will have you thinking about the experience for months after viewing.",Action,Positive
"The best superhero movie I have ever seen, hands down! Heath Ledger was the best live action version of the Joker.",Action,Positive
"This is my favorite movie of all time. Great plot, cast, hero, villain, cinematography, action, and dialogue. Heath Ledger delivers a great performance as the Joker and Batman is such a dark and great Batman.",Action,Positive
A stellar movie with a fantastic performance by Heath Ledger and a fun plot with amazing action scenes.,Action,Positive
Do I really need to say anything. The film is a masterpiece. From the characters to the narrative to the cinematography to the realistic practical action. Thank you Christopher Nolan. 5/5,Action,Positive
This is my favorite Batman movie ever! Christian Bale did another great performance as Batman and Heath Ledger was amazing as the Joker. The plot is excellent and the action sequences were great. Added it to my favorite movies list using boxxy software app.,Action,Positive
" most superhero movies overly smother them with CG. but most of the action was practical, so plus one. so in all, great film.",Action,Positive
"One Of the Best Superhero Movies I've Seen in My Life, Best Story, Best Action Scenes, and the Best Villain Ever.",Action,Positive
Awesome stuff. Cool action and plot.10/10,Action,Positive
"Ok, so. Wow. The movie is gritty, and dark. But thats what makes batman batman. Orginal, and action packed. His villan is so mysterious and crazy, its his oposite. 10/10",Action,Positive
Great Movie. Starts with some great action sequences. It has some very nice escape scenes. This movie totally deserves 5 stars,Action,Positive
One of the aspects that makes this movie one of the greatest movies of all time is quality the action scenes.,Action,Positive
This  is the best live action Joker performance that we have ever seen on the big screen.,Action,Positive
One of the greatest superhero movies of all time.,Action,Positive
The suspense and twists are great the action is great and adds an amazing new villain thanks to the award winning performance of Heath Ledger who defined the Joker.,Action,Positive
Cool action and a great cast makes it good but a bit boring at times but not let that take away from its greatness,Action,Positive
"This film is a prime example of a perfect action packed, comic book thriller.",Action,Positive
"The best Batman film by far! Perfect performances, action and plot. I literally can't think of anything that'll improve it!",Action,Positive
"What hasn't been said already in the last 10 years about The Dark Knight? Great performances, incredible action scenes, substantial direction.",Action,Positive
its great action packed superhero film,Action,Positive
"Almost all the superhero movies shows the classic rivalry between a group of heroes and a villain, but...Batman the Dark Knight, directed by Christopher Nolan and release in 2008, shows the epic DC best superhero and villain, they're Batman and the Joker. This action and superhero movie gets setting on Gotham City.",Action,Positive
"I’m a 13 year old rating one of the best movie of all time. Love the characters, great actions scenes, and the joker is gold. Best superhero movie of all time",Action,Positive
This is easily the best superhero movie ever with deep philosophy and amazing action. Best joker ever,Action,Positive
"This film got everything right which were the story, characters, dark action, the casting including Heath Ledger as the Joker may he rest in peace, the script, and everything in this film is 100% flawless.",Action,Positive
The best superhero film I've ever watched. Ledger's performance is perfect as the maniacal Joker and Nolan directs some of the best action scenes ever put to film.,Action,Positive
"We are given some of the greatest performance from Christian Bale, Heath Ledger, Gary Oldman, Aaron Eckhart, and Morgan Freeman, which is a major part of what makes this movie so good, Along with the story and the movies action, all three of these factions make the movie the greatest super hero movie ever made",Action,Positive
"This is the most overrated movie of all time. As an action movie, it was good but as a Batman movie, it is the worst.",Action,Positive
"I loved the action sequences, the acting was awesome, and it had the best main villain in comic book movie history. I would recommend this even for people that aren't superhero fans.",Action,Positive
"While Heath Ledger will undoubtedly go down as the greatest live-action iteration of the Joker, and should be used as a character analysis for the character.",Action,Positive
"Nolan set everything in motion in the previous film so like the Empire strikes back, we just jump into the action and it is all the better for it",Action,Positive
"JUST PERFECT!!! Sooo well balanced in action, humour, violence, emotions etc. So well cut! And it has a thrilling soundtrack.",Action,Positive
"The BEST superhero movies I've ever seen. Very compelling, intriguing, full of action and a must see for all Batman and comic book fans in general.",Action,Positive
Amazing acting and lots of action makes this my favourite movie and one of the greatest movies of all time. Don’t get how people don’t like this movie it is incredible.,Action,Positive
"It has non-stop action, that meets an epic conclusion to create a perfectly paced film.",Action,Positive
Pros: Great acting. Awesome/good story. Cons: Not enough action. Pacing changes. Disappearing characters.,Action,Positive
Thanks to the dark and eerie performances from Heath Ledger and Aaron Eckhart and the incredible action.,Action,Positive
the action and visuals makes this comic book movie some of the greatest of all time.,Action,Positive
"Best superhero movie yet, fantastic script, story, and director.",Action,Positive
"An appropriately dark Batman movie that transcends its genre by filling it with unforgettable performances, thrilling action, and presenting itself as more of a political allegory than your basic blockbuster superhero flick.",Action,Positive
This movie is action packed and is quite entertaining.,Action,Positive
"The Dark Night not only had some of the best movie performances for an action and adventure film, but it provides a complex plot and many three dimensional characters like Harvey Dent, The Joker, and Commissioner Gordon.",Action,Positive
"One of the best, undeniably enduring superhero films that does more than most others.",Action,Positive
"The action sequences are well done and throughout the entire film, you always feel uneasy because of the conflict they've created.",Action,Positive
arguably best movie of the Dark Knight Trilogy packs plenty explosions and action to tide over fans of Big blockbusters,Action,Positive
"This might very well be the best mainstream action film ever made. Heath Ledger gave one of a kind performance, the story was played out perfectly. Christopher Nolan did not disappoint with this one.",Action,Positive
Just gonna say it isn't heralded as one of if not the best superhero live action film for no reason.,Action,Positive
Great movie. Heath Ledger gave an iconic performance as the Joker. Another great story and plenty of cool action scenes.,Action,Positive
Not the best action,Action,Positive
FRICKIN' MASTERPIECE of a superhero film.,Action,Positive
It's equal parts cerebral and visceral. Ideas and action,Action,Positive
"Not simply a superhero movie, this Batman movie is a very exciting piece of crime and action. ",Action,Positive
Possibly the greatest action movie of all time,Action,Positive
"This film breaks the standard formula of the traditional superhero movie, which would contain a black and white morality system and a clean resolution.",Action,Positive
" This is what makes the movie so good, because it is packed with action and amazing special effects, but also features real people, with real decisions, and real problems",Action,Positive
"A stellar cast, improved action, and the best villain in the history of comic book movies all come together to make one of the best superhero movies in history which, in my opinion, is second only to Logan.",Action,Positive
"this movie has everything a super-hero movies should offer, not just the action scenes and CGI.",Action,Positive
The action and thrills really pack a punch and are fun to watch!,Action,Positive
I thought Dark Knight was a good one. The action is good. It is a thriller. It is a good one in the Dark Knight Franchise.,Action,Positive
Heath Ledger's performance is just unreal and is absolutely perfect. The plot and action sequences are amazing. Just an absolute great movie,Action,Positive
"Masterpiece of intense action and phycologocal thrills. Yes, we're talking about a batman movie.",Action,Positive
It was really Good and great action the actor who played the Joker played him VERY WELL also this is one of the best movies Christopher Nolan ever made. This is the best movie out of the trilogy.,Action,Positive
All of the action sequences in Christopher Nolan's films look practical from every angle.,Action,Positive
"Not only a bright start, it captures what the book wanted to show: action, pain, war, hate and amazing journeys with the perfect storytelling that Peter Jacksom wanted.",Action,Positive
"With an fantastic direction by Peter Jackson, a beautiful cinematography by Andrew Lesnie, and great action scenes.",Action,Positive
"The direction from Peter Jackon, the music from Howard Shore, the cinematography from Andrew Lesnie, the acting, the digital effects from Weta, the choreography, the locations and sets, the action, the adventure, the escapism;  all about as perfect as you can get from a film.",Action,Positive
"This is a movie with a great story, beautiful visuals and amazing action",Action,Positive
Cool action flick with good old Shaq delivering the cool stunts. Good movie for lovers of the action genre.,Action,Positive
beautifully choreographed fight scenes.,Action,Positive
He and his wheeled companion then use their love for eachother and for kittens to fight evil. Brilliant!,Action,Positive
"the film is dark, beautifully shot and action packed with a great cast.",Action,Positive
Good action flick.,Action,Positive
Daredevil delivers the satisfying action that Fantastic Four didn't,Action,Positive
Good action and a nice adaption of the MARVEL character.,Action,Positive
The action is great and yes there's lots of violence but it's all done to enhance the film.,Action,Positive
We get to see more action and more Matt Murdock doing his job as lawyer and less romantic film with action elements. ,Action,Positive
"An excellent show, good drama en good action.",Action,Positive
Captain America: Winter Soldier has the best fight sequence,Action,Positive
I wish I could fight like cap,Action,Positive
A small note to Thanos's fighting skill. He instantly adopt to Cap's fighting style and start aiming for the leg. Crazy monster he is,Action,Positive
This fight is awesome and Cap is worthy,Action,Positive
I love this fight scene because it shows how well captain America can demonstrate the power of the mjolnir along with his skills.,Action,Positive
I love how they show off Thanos when he fights the big three. ,Action,Positive
"A good fight scene, this was.",Action,Positive
the action was great,Action,Positive
The action sequences with him are the best part of the movie,Action,Positive
"a well all around film with solid action and a dark Daredevil like you never seen him before, great movie.",Action,Positive
"The tone is good, well paced, special effects, and action sequences are solid and the film is much more enjoyable.",Action,Positive
Action: fight scene with bullseye taken from the comics brilliant and fan pleasing.,Action,Positive
"great choreography, a gritty story, and at times good action.",Action,Positive
let's talk about the good stuff and that is the action.,Action,Positive
holds some great action with PS2 CGI effects.,Action,Positive
"The action was really good, its a stylish fast paced action",Action,Positive
"Much like the Marvel action hero movies which this is a part of, Daredevil is an awesome movie in several ways, uncountable ways.",Action,Positive
it had promise with the fight scenes that didn't have the over the top CGI,Action,Positive
Pretty cool fight scenes at the bar and in the Kingpin's office.,Action,Positive
like the fight in the park in front of all those children.,Action,Positive
the fight scenes are actually fairly engaging,Action,Positive
One of my favourite scenes happens just as he's about to call it a night after getting into a vicious fight with a dozen thugs.,Action,Positive
"One of the more fun aspects is the longer, extended fight sequences that are infinitely better and more brutal.",Action,Positive
The costumes were good and the fight scenes weren't at all bad.,Action,Positive
"The film has somewhat of an interesting story and is pretty dark, but a lot of corny dialogue and laughable fight ",Action,Positive
the epic fight scenes also make this film one to watch for fans of Marvel comics.,Action,Positive
"There is some bloody violence in this, a little of it immensely brutal. I recommend this to everyone who is passionate about the titular character. 10/10",Action,Positive
" It's amazing, it's mesmerizing, it's dark, it's brutal, it's the best movie of 2019 hands down.",Action,Positive
The fights are exciting especially the ones involving Bullseye.,Action,Positive
"I can commend the fight scenes, because they are well executed.",Action,Positive
"Arrow's eighth and final season balances vigilante action and deeply personal drama against a high-stakes cosmic cataclysm, recalling some of its finest moments and bringing back an assortment of fan-favorite characters to generally entertaining and fitting results.",Action,Positive
his Season we see Oliver become a vigilante to take down the worst of Starling and save this city This season gave us one of the best shows of 2012,Action,Positive
one of the better live action stories of the DC Universe.,Action,Positive
arrow becomes one of the biggest DC Comics superheroes in an amazing and dark vigilante,Action,Positive
"Great season for this tv show . Dark , gritty, fun and action packed.",Action,Positive
"The good> Action, soundtrack, performances, good development of some characters, the female characters are very good, not the typical stereotype, the scripts, the realism with blood when the characters die or are injured.",Action,Positive
One of the best shows of this decade. Amazing action scenes.,Action,Positive
"With a spectacular directing, extremely engaging plot, amazing action scenes and fantastic performances by Stephen Amell",Action,Positive
Arrow is one of the best live action super hero tv shows of all time ,Action,Positive
one of the better live action stories of the DC Universe.,Action,Positive
"This show has a surprisingly Fantastically written story, great stunt word and cinematic action sequences",Action,Positive
"Arrow, is a really good DC show that shows a lot of the Action and Drama",Action,Positive
Complimenting the tone of both action and fantasy with swift execution. A perfect movie,Action,Positive
"It's all about the shire in this one, not enough of our fellowship. However I really loved this, the action was superb.",Action,Positive
My personal favorite of the trilogy. An absolute must see for fans of action and/or fantasy.,Action,Positive
"This movie's got it all. Action, drama, adventure, science fictions, the whole shebang. Epic movie for sure with a greatly written tale.",Action,Positive
"The action sequence was brilliantly made, and thrilling too!This movie contains a lot of things that can make easily a great movie.",Action,Positive
"The Lord of the Rings: The Fellowship of the Ring brings J.R.R. Tolkien's classic fantasy novel on the big screen, and awesome plot and epic action.",Action,Positive
Amazing portrayal of Tolkien’s fantasy world! Visuals and practical effects are stunning. Great acting and action.,Action,Positive
A top notch cast and some thrilling action scenes leave you wanting to return to this film again and again.,Action,Positive
Awesome movie with great action,Action,Positive
"This film has something for everyone whether you are a fan of the books or not, with a mixture of action and high fantasy that is a great introduction to the trilogy and builds excitement for the next film.",Action,Positive
"Action, character, heart, intrigue, world-building, conflict, pacing, and, possibly above all, the greatest movie setting",Action,Positive
"Those positives are also bolstered by an extremely well chosen cast, excellent production (be it the costumes, designs and settings), an incredible score, solid action",Action,Positive
"Lord of the ring:the fellowship of the rings was a masterpiece. Excellent story, excellent action, and the visuals were sharp and excellent.",Action,Positive
Peter Jackson makes a very good Lord of the Rings movie that combines great storytelling and action.,Action,Positive
"The action in this film knows where it needs to be to fit in with the captivating drama, and finally, despite this being a very long film, and being a very good film",Action,Positive
The first of the trilogy this film lays down the plot for an action packed and intriguing journey.,Action,Positive
The first live-action motion picture set in Tolkien's Middle Earth is nothing short of spectacular.,Action,Positive
"Overall the film was great. When disregarding the book it has everything an action movie needs, danger, fight scenes and a downfall.",Action,Positive
I would recommend the movie to anyone who likes fantasy action or The Lord of the Rings books.,Action,Positive
Breath-Taking Action Scenes,Action,Positive
"The actions is great, the characters are great, the performances are great",Action,Positive
I was absolutely thrilled to see that a live-action version was being planned for this year.,Action,Positive
"Awesome actions and graphics, and a great story.",Action,Positive
"Worth the two hours for this big-budget action, adventure, fantasy movie.",Action,Positive
"This movie was a great movie, it added action pack scenes, drama, and a lot of great other qualities too",Action,Positive
There were a lot of high action scenes and excitement in the movie.,Action,Positive
An epic movie! The cast is perfect and the action is breath-taking; and it's never dull despite it's 178 minute run-time. Fantastic!,Action,Positive
Has excellent use of action and uses practical and organic special effects along with excellent location settings.,Action,Positive
"If you're a fan of roller coaster action, CGI and over the top storytelling... you'll love this movie.",Action,Positive
"Loved this incredible movie, I first saw this with my cousins as a kid and just loved this amazingly great movie, the action and adventure were fun, too, I overreacted didn't I? :)",Action,Positive
Goodd moobvrkjv htcbihccbf xxxzz actions,Action,Positive
The action sequences were unforgettable as well as the set designs.,Action,Positive
"Sean Bean adding another death to his list, makes this a cinematic masterpiece, which everyone that loves fantasy, action,adventure,and edge of your seat entertainment would love this film.",Action,Positive
The Fellowship is full of action,Action,Positive
"good action mixed with practical and CGI, a very interesting",Action,Positive
"this is one of the best movies of all time! it has action, adventure, drama, and nail-bitting scenes!",Action,Positive
"It is long honestly, but thats a good thing, because of the deep plot and perfect mix of action and adventure",Action,Positive
"Fellowship of the ring doesn't only have spectacular action and special effects, but it also has great soul and heart thanks to Peter Jackson's top notch direction.",Action,Positive
An amazing filmEverything from the special effects to the thrilling action sequences make this an instant classic.,Action,Positive
"An epically enchanting and wonderful spectacle, the first installment of Peter Jackson's Lord of the Rings trilogy makes for a rousing story backed up by wonderful special effects and action. ",Action,Positive
"A fantastic movie that blends fantasy, drama and action in a near three hour movie that surprisingly flies by rather quickly.",Action,Positive
A phenomenal film with great performances some great action and some great screenplay,Action,Positive
"The Fellowship of the Ring has its flaws, but still manages to boast dazzling visuals, an A cast, and impressive action.",Action,Positive
what made this movie so good for me  constant action,Action,Positive
finally  i get to see an action movie that doesn t try to please all sectors of the public,Action,Positive
the most well thought out action adventures you will ever come across  over the top ,Action,Positive
the final action sequence is one of the best i have ever seen in any film,Action,Positive
best and most original action flicks of the 90 s,Action,Positive
the action was a lot better then the first movie because it had a lot more fight scene and it came to u at a faster pace  it was amazing,Action,Positive
watch this movie the fast action scene will surely make your heart pound  with new jutsus and garra in the movie,Action,Positive
this movie is true action at its finest,Action,Positive
"An absolute classic. Great action and effects, a fantasy worthy of the book... what we all expect from a movie, complete entertainment.",Action,Positive
"there is action, setup, drama, and anything great from the books can be found here.",Action,Positive
The action is well-shot and very entertaining. ,Action,Positive
"A fantasy masterpiece by Peter Jackson. Superb character development, action, cinematography and acting. Simply put, a magnificent movie; as are all the sequels.",Action,Positive
The action scenes are the big highlights,Action,Positive
Great story of the one of the greatest master of martial arts in history. Great martial arts scenes too.,Action,Positive
None of the sequels to the Martial Arts masterpiece Ip Man have been able to equal it,Action,Positive
"Unlike so many other martial arts films, the Ip Man series tries to create a compelling story and not rely so heavily on fantasy fights one after the other. ",Action,Positive
This is one of the best Martial Arts movies that I have seen besides others,Action,Positive
he Legend of Drunken Master (1994) is a riveting and riotous blast of martial arts to your eyes. ,Action,Positive
A mix of jaw-dropping fight scenes make for one of the better martial arts films I have seen.,Action,Positive
"if asked to name some of my favorite martial arts movies or action films, The Legend of Drunken Master would be on that list.",Action,Positive
"I highly recommend this movie to all fans of action, martial arts, adventure and movies in general.",Action,Positive
One of the best martial arts movies ever.,Action,Positive
one of the most spectacularly choreographed martial arts films of all time,Action,Positive
1 of the best martial arts movies i have ever seen!!!,Action,Positive
amazing unique fight choreogaphy. some of the best martial arts in film,Action,Positive
Hands down the best martial arts/kung fu movie ever.,Action,Positive
this movie contains perhaps the most incredible martial arts sequences ever put on film. ,Action,Positive
"""The Legend of the Drunken Master"" ranks alongside some of the greatest martial arts movies of all time.",Action,Positive
MR Freeze and poison ivy who she'll win this big battle with good action,Action,Positive
"An unambitious and limited ""action"" film filled with stupid dialogue, bad jokes, desperate characters, and repetitive and boring sequences of violence.",Action,Negative
"It's basically an excuse to have a bunch of action scenes, many of which involves Genetically Engineered Super Soldiers, who can take bullets without body armor but unfortunately are mindless killing machines. ",Action,Negative
The first third of the film contains no action,Action,Negative
"The action scenes are fine, but there aren't enough of them and the film surrounding them is just awful.",Action,Negative
"The performances are poor, the drama falls flat, the comedy is anything but funny, and even the action scenes feel same-y and, while watchable, are nothing more than technically competent.",Action,Negative
"very run of the mill action film, loosely based on the game farCry,not terrible, but rarely makes you interested.",Action,Negative
"Halle Berry is the lone bright spot, but even she can't save this laughable action thriller.",Action,Negative
The story and action is a complete mess and is very uninteresting.,Action,Negative
"taking the fact it was done to be an action film, it's one of the worst ever done",Action,Negative
"My God!!! This is horrible, there are way too many cuts in every action scene, the characters are weird, obnoxious and annoying, ",Action,Negative
"Not very good. This ""action"" movie is fairly boring and dumb.",Action,Negative
worst super hero movie ever made.,Action,Negative
"The CGI is dated, the costumes are dated, the the score is dated, the action is dated, even the settings are dated. ",Action,Negative
The things I hated about this film were the action scenes.,Action,Negative
he biggest issues revolving nauseating action sequences,Action,Negative
"The plot sucks, the action sucks, the acting sucks, the origin sucks.",Action,Negative
"Catwoman misuses Halle Berry's talent in this everything-is-cliched-and-bland ""action movie.""",Action,Negative
"What a horrible disease this movie is, it's incredible how bad superhero movies could get.",Action,Negative
Worst superhero film ever made!,Action,Negative
Only worth watching if you want to see just how wrong a superhero movie can go.,Action,Negative
"The worst ""superhero"" origin story.",Action,Negative
" like that they made a cat woman movie but girl superhero movies stink, like super girl and Electra.",Action,Negative
What it is is a low point in the superhero genre and a missed opportunity.,Action,Negative
maybe the only superhero movie that I hate.,Action,Negative
"Awful special effects, lame acting, and a mind-bogglingly stupid (and arguably sexist) plot make Catwoman quite possibly the worst superhero movie ever made.",Action,Negative
"Halle Berry's acting is uneven, and the action is dissatisfying",Action,Negative
the action was boring,Action,Negative
It has earned its reputation as one of the worst films of all time and probably the absolute worst superhero film of all time. ,Action,Negative
the action sequences are complete trash,Action,Negative
such horrible action and laughable story that you just can't help but feel ashamed watching it.,Action,Negative
"When people say Batman and Robin is the worst superhero/comic book, I say ""What about Catwoman. There is nothing good about that movie.""",Action,Negative
Catwoman clearly shows that Hollywood can't write a female superhero movie and honestly should either stop or get help.,Action,Negative
The dull action scenes are more laughable than tense,Action,Negative
"It's a weird mix of TV quality action/dialog, chick-flick characters",Action,Negative
the fight scenes are stupid,Action,Negative
A dumb action comic book film,Action,Negative
"Watchable, but nowhere near the punch-packing action adventure the character and her fans deserved.",Action,Negative
Catwoman is considered by many to be one of the worst superhero movie ever made.,Action,Negative
"The acting is painful, the story is tired, and it's hard not to laugh at the action scenes.",Action,Negative
terrible direction and laughable fight scenes,Action,Negative
Batman character lacks any common sense and only succeeds in making the audience laugh at the incompetent dialogue and action.,Action,Negative
I absolutely hated this movie. It is the worst superhero movie ever made.,Action,Negative
"This movie does suck than a bad adapted DC Comics graphic novel."" Of all the critically panned superhero movies over the past decade",Action,Negative
"""Catwoman"" is one of the worst superhero movies of all time. ",Action,Negative
"The worst superhero movie ever made, and we live in world where Batman And Robin exists.",Action,Negative
Maybe worst superhero movie ever,Action,Negative
Not only are the action and the acting both bland and boring but the story is a horrible adaption of the Catwoman anthology.,Action,Negative
"Before watching this movie, I thought Batman and Robin to be the worst superhero movie. But now the crown goes to Catwoman. ",Action,Negative
ridiculous superhero movie.,Action,Negative
Catwoman is a terrible superhero movie that ranks up with the likes of other shitty superhero movie like Batman and Robin and DareDevil.,Action,Negative
A real shame for a superhero film. Unbelievably bad.,Action,Negative
"A comic-book movie requires thrilling action, and heavy artistry, the best we get is a rubber suit.",Action,Negative
"A techno-action movie requires some kind of scientific explanation, so the sliver of hope that this dream will one day come true lingers in our mind, yet nothing is explained beyond",Action,Negative
poorly lit action sequences.,Action,Negative
"the action scenes are so boring that I would rather watch an action in a Twilight movie than in this movie, so yeah it's that bad.",Action,Negative
the action scenes are very boring.,Action,Negative
the action scenes are clunky and uninteresting,Action,Negative
I guess to mirror the film's fusion of superheroes and crappy action films,Action,Negative
"If you want to see some of the worst lines, story structure, acting, direction.... everything, then by all means, see this.",Action,Negative
laughable action sequences and terrible storytelling,Action,Negative
"A little slow at parts, and not enough action till the end",Action,Negative
The action was little slow.,Action,Negative
"The action in the movie fails on many different levels, because you never really knows what's going on with the characters in the scenes.",Action,Negative
"The action scenes aren't very exhilarating, I've seen its material in countless other comic book films. Sadly, even after seeing the directors cut, it just left so little an impact.",Action,Negative
There isn't enough action because there are so many moments where the characters and their relationships are explored,Action,Negative
his action scenes are badly choreographed & hard to follow,Action,Negative
with a huge rise in action hero movies it shows this films weaknesses even further its a shame as daredevil could of been much better,Action,Negative
"Daredevil is a huge comic book film misfire on every level. From the casting to the action to the dialogue, its a mess.",Action,Negative
really poor animations of the characters in action adds to the overdriven comic book feeling.,Action,Negative
"The movie continues to go off its edge as it proceeds further through the events, and the action sequences and slow mode shots aren't even too interesting.",Action,Negative
"It seems to recognize the weaknesses in its own story and tries to counter it with style, but both end up stumbling over a mediocre soundtrack, messy action and little to no visual appeal.",Action,Negative
I might have liked it better if it wasn't for all the poorly coordinated action sequences.,Action,Negative
the choreography of the fight are messy,Action,Negative
"Most of the action are really good but then there's the final fight with Kingpin, not to mention that Daredevil's movie Kingpin is terrible.",Action,Negative
"here are some cheesy things in it, such as over choreographed fights and cgi ",Action,Negative
the silly scenes that were left in that are bad. Like Murdock's playful fight with Elecktra in a playground. ,Action,Negative
The fighting scenes look so fake the budget looks like this is a directors first movie.,Action,Negative
This movie is just bad Everything from its poor character development to its terribly executed fight scenes are just bad,Action,Negative
